  Ort,     PLZ,Kundenname,Versandstelle, Auftrag,BS-Nummer, Verladadatum,Lieferdatum,Palettenart,Summe von geschätze_Paletten,19,Summe von geschätzes_Gesamtgewicht,Spediteur
Sachsen                ,91623,      EHG Südwest Getränke,PS Mühlen                     ,347360,9263474,12/6/2021,12/7/2021,Europalette 1200x800          ,15,15,7678,
Sachsen                ,91623,      EHG Südwest Getränke,PS Mühlen                     ,347360,9263474,,07.12.2021 Ergebnis,,15,15,7678,Carrypicker
Gaimersheim            ,85080,      Edeka Lager Gaimersh,PS Mühlen                     ,349051,13657671,12/7/2021,12/8/2021,1/4 Chep 600x400              ,16,16,10509,
Gaimersheim            ,85080,      Edeka Lager Gaimersh,PS Mühlen                     ,349051,13657671,,08.12.2021 Ergebnis,,16,16,10509,Carrypicker
Sachsen                ,91623,      EHG Nordbayern-Sachs,PS Mühlen                     ,346551,1101625055,12/9/2021,11/18/2021,Europalette 1200x800          ,16,16,13582,
Sachsen                ,91623,      EHG Nordbayern-Sachs,PS Mühlen                     ,346551,1101625055,,18.11.2021 Ergebnis,,16,16,13582,Carrypicker
Sachsen                ,91623,      EHG Nordbayern-Sachs,PS Mühlen                     ,347540,1101633001,11/22/2021,11/23/2021,Europalette 1200x800          ,7,7,4000,
Sachsen                ,91623,      EHG Nordbayern-Sachs,PS Mühlen                     ,347540,1101633001,,11/23/2021,Europalette 1200x800          ,13,13,8000,
Sachsen                ,91623,      EHG Nordbayern-Sachs,PS Mühlen                     ,347540,1101633001,,23.11.2021 Ergebnis,,20,20,12000,Carrypicker
Trostberg              ,83308,      EHG Südbayern mbH La,PS Mühlen                     ,348949,13657662,11/17/2021,11/18/2021,1/4 Chep 600x400              ,13,13,9108,
Trostberg              ,83308,      EHG Südbayern mbH La,PS Mühlen                     ,348949,13657662,,18.11.2021 Ergebnis,,13,13,9108,Carrypicker
Gaimersheim            ,85080,      Edeka Lager Straubin,PS Mühlen                     ,349040,13657677,11/19/2021,11/20/2021,1/4 Chep 600x400              ,14,14,9808,
Gaimersheim            ,85080,      Edeka Lager Straubin,PS Mühlen                     ,349040,13657677,,20.11.2021 Ergebnis,,14,14,9808,Carrypicker